ID Sitio X Y Excavacion capa/estrato tumba Tipo_de_entierro Episodios_multiples Edad Sexo Posicion_anatomica Orientacion Pintura/Ocre Desarticulacion_osea Restos_humanos_aislados Objetos_asociados Numero_de_objetos_asociados Presencia_fauna Numero_total Num_venado Num_cuy Num_liticos Acumulaciones_de_arenisca Presencia_de_Carbon Soportes_de_piedra Estructura_de_madera Tipo_de_tumba
IND32-49 Alcaparros 3.271168517 0.35379504 Gonzales Segmento_1_(nivel_4_y_5) A1 Entierro_primario 0 Subadulto NA Decubito_lateral_izquierdo Sur 1 0 0 1 318 1 157 NA NA 161 1 1 0 0 NA
IND33-57 Alcaparros 2.256680672 0.394374554 Gonzales Segmento_2_(nivel_6) A2 Entierro_primario 0 Subadulto NA Decubito_lateral_derecho Occidente 1 0 0 1 42 1 39 NA NA 0 1 1 0 0 NA
IND34-56 Alcaparros 2.735518935 0.240172402 Gonzales Segmento_2 A3 Entierro_primario 0 Adulto Femenino Decubito_lateral_derecho Norte 0 0 1 1 220 1 183 NA NA 37 1 1 0 0 Irregular
IND35-175 Alcaparros 2.321607894 1.003067261 Gonzales Segmento_2 A4 Entierro_secundario 0 Subadulto NA NA NA 0 1 0 1 59 1 34 NA NA 24 1 1 0 0 NA
IND36-59 Alcaparros 3.45783428 0.824517401 Gonzales Segmento_2_(nivel_6) A5 Entierro_primario 0 Subadulto NA Decubito_lateral_derecho NA 1 0 0 1 103 1 35 NA NA 68 1 1 0 0 NA
IND37-61 Alcaparros 4.740146917 -0.73373593 Gonzales Segmento_2 A6 Entierro_primario 0 Neonato NA NA NA 0 0 0 1 25 1 22 NA NA 3 1 0 0 0 Irregular
IND38-58 Alcaparros 4.358699487 -0.831126763 Gonzales Segmento_2_(nivel_5) A6 Entierro_primario 0 Subadulto NA Decubito_lateral_izquierdo NA 1 0 0 1 73 1 68 NA NA 14 1 1 0 0 Irregular
IND39-64 Alcaparros 4.277540459 -0.498374749 Gonzales Segmento_2 A6 Entierro_primario 0 Subadulto NA Decubito_ventral NA 1 0 1 1 155 1 88 NA NA 67 1 1 0 0 Irregular
IND40-48 Alcaparros 4.60217657 -0.360404403 Gonzales Segmento_2_(nivel4) A6 Entierro_primario 0 Adulto Masculino Decubito_dorsal Noroeste 0 0 1 1 176 1 145 NA NA 31 1 1 0 0 Irregular
IND41-68 Alcaparros 1.745378798 0.256404207 Gonzales Segmento_2(nivel8) A7 Entierro_primario 0 Subadulto NA Decubito_lateral_derecho NA 0 0 0 1 60 1 45 NA NA 15 1 1 0 0 Oval
IND42-69 Alcaparros 3.814934002 0.889444623 Gonzales Segmento_2 A8 Entierro_primario 0 Adulto Masculino Decubito_lateral_izquierdo NA 0 0 0 1 61 1 31 NA NA 30 1 1 0 0 Oval
IND43-154 Alcaparros 1.988855881 5.807681696 Gonzales Segmento_1(nivel_6_y7) A9 Entierro_primario 0 Adulto Femenino Decubito_lateral_derecho Norte 1 0 0 1 587 1 212 NA NA 375 1 1 0 0 NA
